snapshot_date,role,bldg_nm,current_supply_area_m2,naver_complex,matched_supply_m2,matched_exclusive_m2,reference_method,reference_price_eok,reference_supply_m2,reference_date,reference_basis,source_url,note
2026-08-16,target,타워맨션,150,타워맨션,149.35,134.08,current_asking_nearest_type_scaled,30,170,2026-08-12,현재 확인매물 최저 호가,https://fin.land.naver.com/complexes/866,170㎡ 확인매물 호가를 현재 공급면적 비율로 환산
2026-08-16,target,타워맨션,160,타워맨션,155.47,139.67,current_asking_nearest_type_scaled,30,170,2026-08-12,현재 확인매물 최저 호가,https://fin.land.naver.com/complexes/866,170㎡ 확인매물 호가를 현재 공급면적 비율로 환산
2026-08-16,target,타워맨션,220,타워맨션,221.33,200.10,current_asking_nearest_type_scaled,36,223,2026-08-10,현재 확인매물 최저 호가,https://fin.land.naver.com/complexes/866,223㎡ 확인매물 호가를 현재 공급면적 비율로 환산
2026-08-16,target,빌라맨션,230,빌라맨션,229.75,229.75,current_asking_same_type,32,229,2026-08-12,현재 확인매물 최저 호가,https://fin.land.naver.com/complexes/11318,동일·근접형 확인매물
2026-08-16,target,빌라맨션,170,빌라맨션,174.48,174.48,current_asking_nearest_type_scaled,32,229,2026-08-12,현재 확인매물 최저 호가,https://fin.land.naver.com/complexes/11318,229㎡ 확인매물 호가를 현재 공급면적 비율로 환산
2026-08-16,target,빌라맨션,20,빌라맨션,20.26,20.26,current_asking_nearest_type_scaled,32,229,2026-08-12,현재 확인매물 최저 호가,https://fin.land.naver.com/complexes/11318,동일형 호가 부재로 229㎡ 확인매물 단가를 환산한 저신뢰 proxy
2026-08-16,target,퀸스리버빌,230,퀸스리버빌,247.58,198.39,archived_asking,32.5,229,2026-05-01,저장된 네이버 호가 스냅샷,https://fin.land.naver.com/complexes/9080,2026-08-16 현재 실거래·호가 미확인으로 보관 자료 사용
2026-08-16,target,센트레빌,80,동부센트레빌,78.75,59.99,current_asking_nearest_type_scaled,26.5,111,2026-08-14,현재 확인매물 최저 호가,https://fin.land.naver.com/complexes/3881,111㎡ 확인매물 호가를 현재 공급면적 비율로 환산
2026-08-16,target,센트레빌,111,동부센트레빌,111.12,84.65,current_asking_same_type,26.5,111,2026-08-14,현재 확인매물 최저 호가,https://fin.land.naver.com/complexes/3881,동일형 확인매물
2026-08-16,target,센트레빌,132,동부센트레빌,132.33,100.80,current_asking_nearest_type_scaled,26.5,111,2026-08-14,현재 확인매물 최저 호가,https://fin.land.naver.com/complexes/3881,111㎡ 확인매물 호가를 현재 공급면적 비율로 환산
